KandM1,KandM2,KandM3,co2_values
0.964128543,0.96411211,0.964084963,0.227525855
0.849138645,0.84909352,0.848993317,1.158258381
0.73346037,0.734229733,0.735220881,0.729640528
0.776450161,0.776578236,0.776792526,5.22124458
0.813499925,0.809392507,0.795817634,5.431728864
0.826141805,0.82295639,0.81269242,5.779354654
0.835428878,0.83323163,0.82644236,7.632437824
0.863722672,0.86125449,0.853768211,7.869720152
0.840858645,0.838901734,0.832967636,8.574720616
0.924995161,0.922241936,0.91385322,6.480241102
0.878214563,0.874622683,0.863266689,8.585258454
0.762202273,0.759190818,0.748813853,8.080058656
0.748528436,0.743565663,0.726395046,7.583175336
0.735455741,0.730585392,0.713571682,6.497183241
0.738391037,0.731397607,0.707384035,7.066489891
0.619822774,0.610670166,0.578773523,5.857806291
0.697174305,0.687100118,0.652677967,4.603729415
0.960194499,0.958082014,0.9515148,0.149507233
0.903543283,0.903324156,0.902869306,1.144785131
0.968122391,0.967933092,0.967566073,0.532821218
0.97560679,0.975588404,0.97555779,0.203088639
0.982560535,0.982536151,0.982494905,0.176476589
0.976352111,0.975893965,0.97486429,0.338652724
0.933874019,0.933607257,0.933065784,0.008053751
0.879037929,0.8784754,0.877097852,0.735277266
0.633430432,0.63418613,0.635500008,2.81530928
0.917622711,0.916069079,0.911868152,5.766838429
0.748544235,0.743840832,0.727542104,5.292261595
0.686721501,0.681202467,0.661457127,5.410490544
0.614578792,0.60729643,0.581130674,6.869955803
0.665504706,0.657827798,0.630930561,6.98829585
0.635942401,0.628646325,0.602654204,8.751600718
0.579534121,0.572477386,0.546660329,7.827442964
0.608270078,0.600121354,0.571217622,7.744667628
0.598041884,0.589818005,0.560593247,7.003390385
0.57938921,0.571043615,0.541288897,6.356340449
0.55720874,0.547736806,0.514427039,7.486072099
0.605861826,0.596814658,0.565135116,6.600362868
0.512446709,0.500904352,0.461288129,5.531633314
0.513216334,0.500009442,0.4555154,4.690187373
0.926812166,0.924507965,0.91774823,0.475026706
0.978189322,0.978068267,0.977841323,0.041299119
0.949922222,0.949052398,0.946953015,0.338360623
0.879373998,0.879342798,0.879283034,0.59032018
0.798027025,0.798062253,0.798120062,3.297244065
0.418376303,0.421147531,0.425863154,4.185544259
0.693114211,0.693246377,0.692692805,5.12361868
0.858532834,0.854811328,0.842917546,6.556522084
0.853098326,0.848836088,0.835000357,7.391544843
0.781386869,0.776707016,0.760852297,7.631534982
0.804062265,0.799525781,0.784383819,8.909536285
0.77541567,0.772157454,0.761097476,8.478028312
0.753379946,0.74762479,0.727856119,10.37136669
0.75507763,0.749634957,0.730928147,9.41595291
0.813132262,0.809197391,0.796216114,7.910035381
0.78267167,0.777060265,0.758053451,6.361596865
0.785043837,0.78006821,0.763243068,8.529001433
0.843399257,0.839122561,0.825185704,8.125242159
0.870634535,0.867457098,0.857546266,6.167468937
0.748741693,0.741491449,0.716709398,5.180351061
0.821336988,0.814937464,0.79337654,4.814376477
0.943549764,0.94164059,0.936237625,0.291243114
0.921285905,0.921275486,0.921258254,1.18187374
0.983618107,0.983366523,0.982863982,0.017557376
0.98015163,0.979527248,0.978052106,0.025463931
0.985319554,0.984641577,0.982906248,0.05373995
0.986375385,0.985652677,0.983748897,0.822062025
0.915203078,0.914846181,0.91421877,1.210817895
0.938514772,0.93589062,0.927861602,0.546228374
0.910227407,0.909091319,0.906215294,2.226217412
0.889782926,0.88671889,0.878921446,0.960759488
0.94671591,0.946229423,0.945172295,1.427387465
0.971427234,0.971317237,0.971113979,0.228846345
0.853870978,0.848818423,0.832149932,0.91774097
0.803064842,0.798839759,0.784760619,6.60925898
0.78546639,0.781268532,0.767102887,6.701054308
0.772945672,0.767813301,0.750335928,8.26193711
0.815795475,0.811370851,0.796718246,9.046169257
0.780695987,0.776596907,0.762717215,10.64723134
0.808496335,0.803649363,0.787476628,10.77397601
0.84554749,0.84290416,0.834681295,9.582067813
0.857353461,0.855160267,0.848564341,11.20189911
0.818018563,0.81452875,0.803134427,9.080753246
0.875825234,0.87225632,0.860976233,10.65946304
0.805914818,0.805014133,0.802210017,10.39448485
0.764924223,0.758535738,0.736757714,5.934509927
0.800858829,0.798059619,0.788868681,6.406582191
0.850057153,0.845688275,0.831460766,4.457705008
0.494906537,0.492411622,0.479854646,3.197890941
0.849270117,0.843861771,0.825911404,0.592728896
0.987491669,0.987609161,0.987759762,0.106135439
0.982587882,0.982012209,0.980694357,0.185581267
0.901170583,0.898415258,0.890219176,3.577526357
0.958760208,0.958668822,0.958503174,0.859988884
0.92807593,0.9273603,0.924925048,1.394179954
0.728102286,0.71934583,0.689419636,3.579963757
0.730745147,0.722569384,0.694595606,6.780745989
0.74729426,0.741565408,0.721821648,8.191592045
0.725985595,0.719662212,0.697732311,9.017437655
0.720923505,0.714369273,0.691631782,8.691767155
0.69200298,0.684852017,0.659890306,10.55785055
0.73341364,0.726854513,0.704224838,9.288734215
0.75766459,0.752124912,0.733120301,9.998828329
0.757240317,0.752274085,0.73518997,11.01891371
0.795199988,0.789887638,0.772006447,7.091538558
0.793637375,0.787974462,0.768882796,5.960114287
0.760592014,0.755707661,0.7389366,8.711566962
0.711534686,0.704331117,0.679388681,7.438265265
0.735197463,0.727139398,0.699581879,6.184749828
0.630314977,0.61906621,0.580701449,4.258261002
0.946156516,0.94555843,0.944203585,0.415556059
0.992848421,0.992389978,0.991178756,0.043428006
0.937065142,0.936735824,0.935497508,0.803868855
0.508995749,0.495336871,0.449513936,3.755236893
0.478250793,0.465584292,0.42268992,6.083760143
0.543440186,0.532778683,0.495855661,8.802503638
0.611349513,0.602706355,0.572309401,7.950564202
0.619617191,0.611525143,0.582898576,10.06360149
0.668322528,0.660826021,0.63452736,8.901348409
0.776655181,0.772646442,0.759030326,9.384690027
0.801079701,0.79882899,0.791515026,9.675596326
0.845729223,0.84342594,0.836366324,9.293080524
0.830910688,0.829830456,0.826663073,9.6835525
0.875664728,0.872189538,0.861243855,7.356479325
0.809055667,0.803801528,0.786229089,8.556344183
0.797724975,0.796483154,0.792505378,7.86826008
0.779873241,0.773850913,0.753428489,7.521929856
0.734282081,0.726208312,0.698593388,5.612562127
0.925003012,0.922876441,0.91589219,0.118607565
0.916746925,0.914523855,0.907709432,0.172471672
0.912709117,0.912839526,0.912989838,0.193421973
0.955844972,0.953781122,0.947650262,0.223657803
0.954380517,0.95315173,0.950050007,0.330856484
0.747165682,0.745673077,0.739019512,1.666094454
0.991340125,0.99120805,0.990950838,0.035626352
0.971003508,0.97007681,0.967727146,0.086482822
0.973208454,0.971995135,0.968696737,0.332351103
0.871101802,0.866808587,0.852906519,0.539679642
0.688318977,0.687187961,0.684766387,1.266364321
0.958316846,0.956815646,0.952656441,5.364172977
0.808918027,0.804721157,0.790794913,9.132852212
0.819879618,0.815741324,0.802115862,6.148887579
0.847869671,0.843550917,0.829490024,10.2264673
0.811209712,0.806818185,0.79224043,9.584227139
0.859504364,0.856182927,0.845704387,12.18704409
0.853613839,0.850571071,0.841028262,11.2043774
0.820121293,0.817022217,0.806999535,11.36469214
0.880123405,0.87651551,0.865106087,10.92224771
0.784932307,0.780371073,0.764957516,9.466331209
0.820498062,0.818033797,0.810195862,8.043198079
0.800561825,0.795288474,0.777584883,8.846461096
0.763294972,0.75607153,0.731474389,7.885333895
0.807754084,0.802772719,0.786130766,5.702079808
0.604830219,0.59175634,0.547541906,4.706859383
0.978856856,0.977793104,0.974427197,0.017323854
0.778739166,0.779118709,0.779718701,0.015346364
0.963949457,0.963632666,0.962980403,0.635286427
0.992745595,0.992443732,0.991722864,0.010839072
0.98047459,0.979543151,0.977010178,0.357568118
0.958694309,0.95820352,0.957163539,0.627488458
0.853964528,0.852569231,0.847376659,0.931110306
0.627393448,0.628721259,0.6309563,1.68799104
0.611982135,0.611704861,0.608692754,4.522478098
0.74887979,0.748983087,0.748860068,8.457753272
0.89167078,0.888759679,0.87986532,7.673243803
0.761494781,0.75589543,0.736729787,8.332302666
0.683266831,0.677049993,0.655000553,8.664049803
0.481162166,0.470739955,0.434289723,9.570528596
0.47610481,0.465809977,0.429712721,9.493883114
0.531447001,0.522472176,0.490476612,8.674999847
0.483656207,0.472886142,0.435441359,9.773720256
0.521979645,0.512497359,0.478947603,8.168903304
0.506199238,0.495561829,0.458564122,8.442279673
0.535728404,0.525249013,0.488830348,7.075409348
0.463062362,0.449658363,0.404680308,6.818192887
0.391920672,0.376595938,0.32670222,5.059856813
0.938921727,0.938857861,0.938745339,0.116267063
0.982833792,0.982432963,0.981528486,0.030932843
0.993144601,0.992595365,0.990994445,0.022764386
0.661296324,0.661449169,0.661703537,4.763454117
0.718949903,0.718261555,0.715234045,5.836685397
0.800451141,0.795530701,0.779036816,6.044455195
0.745604142,0.739135446,0.716919858,7.643978704
0.637960552,0.630028336,0.602067675,7.712995433
0.658091826,0.649912896,0.621363687,8.97790094
0.559934975,0.549398569,0.51292459,7.712083536
0.615973365,0.608533365,0.581891923,9.293692796
0.71456479,0.707711921,0.683937404,9.328536803
0.691443452,0.684087754,0.658463488,9.545930768
0.734799213,0.729927657,0.712902073,7.838051396
0.742552328,0.737280221,0.719006758,7.638427049
0.649257941,0.640832178,0.611431157,6.464593502
0.676799139,0.669101482,0.642245621,5.911445776
0.709588209,0.701025471,0.671652465,4.372869581
0.955938493,0.95588005,0.955777526,0.976457366
0.934319871,0.934260079,0.934149493,0.32782152
0.444831969,0.447197475,0.45039462,5.64118538
0.93828072,0.935934945,0.928940934,1.273806685
0.984660915,0.983953953,0.982099971,0.003910407
0.913476247,0.912380574,0.909035567,1.147112764
0.989260053,0.988510691,0.98638306,0.078833152
0.925998322,0.922572324,0.911304447,0.310144519
0.734589909,0.729654765,0.712406055,1.546657759
0.878393807,0.877819592,0.876407835,3.348923346
0.907336101,0.904710437,0.896846181,8.554047828
0.762645342,0.757459066,0.739692915,10.52238795
0.716999494,0.710995965,0.690018593,9.971792262
0.723715912,0.717699721,0.696754261,10.15200861
0.738058106,0.731835237,0.710359268,9.082640115
0.724703639,0.718294757,0.696071366,8.610717539
0.704939158,0.699102188,0.678534,8.041432666
0.766293093,0.763144955,0.752350993,9.833693363
0.705190878,0.698623138,0.675678894,7.822479517
0.6710543,0.663257234,0.636031997,6.178831007
0.70630012,0.698245101,0.670499847,5.567927371
0.762557472,0.755114824,0.729770987,6.192381834
0.573843784,0.560691964,0.516312265,4.298883833
0.976470176,0.976392102,0.976251097,0.104457616
0.99032518,0.989800161,0.988504187,0.005125046
0.978349496,0.97786328,0.976753915,0.313174227
0.972995407,0.972694825,0.972070386,0.186527123
0.967806564,0.966747603,0.964033249,0.03329419
0.971805732,0.971735166,0.971609704,0.194361514
0.667336823,0.667868225,0.668795337,2.487308066
0.588326444,0.585285753,0.57113075,1.997694818
0.492555847,0.494045763,0.496658156,6.265481645
0.849608481,0.847139672,0.8395477,7.415160563
0.738359506,0.732293377,0.711338263,7.618363208
0.766334269,0.760893726,0.742310007,8.198151075
0.740922199,0.735127554,0.715098112,8.790934173
0.699542018,0.693328967,0.671474599,8.876635538
0.704611383,0.699669992,0.682042423,9.517538074
0.735889625,0.730562271,0.712029344,10.84034606
0.710384095,0.703900278,0.68128337,7.977571341
0.795125671,0.790463198,0.77480489,9.268836788
0.717046925,0.711049289,0.690091751,8.572563011
0.754384437,0.748402533,0.727887697,6.733140779
0.725381913,0.718232228,0.693591814,7.056296876
0.762529988,0.755725071,0.732531812,4.770315062
0.954796307,0.954708236,0.954549831,0.171493477
0.84369947,0.838893105,0.82627023,0.017439498
0.944959424,0.944401099,0.943152237,0.02865019
0.956696909,0.956689864,0.956678501,0.910896951
0.974989865,0.974952899,0.97488944,0.034105763
0.690248848,0.689453631,0.684439956,0.729763718
0.549678415,0.550334625,0.55146272,2.691216202
0.718746948,0.718894443,0.719142811,4.708934783
0.812096216,0.81148525,0.809620985,5.146454324
0.871199456,0.868442329,0.860005313,6.546885604
0.778939383,0.773052071,0.753078862,5.701347088
0.749561195,0.744798356,0.728311469,6.999856182
0.735384811,0.729885185,0.710774161,10.14146738
0.716244949,0.710885273,0.692016873,8.616787596
0.70487043,0.700655541,0.685448608,9.453005246
0.73163177,0.725876643,0.705877818,9.591505783
0.739327307,0.734333074,0.716950765,9.512720077
0.735298082,0.729874603,0.711015448,8.813425689
0.716150734,0.709132721,0.68483649,8.529205581
0.760886797,0.753822211,0.729745476,6.688833447
0.65854574,0.649678451,0.618967426,5.964327246
0.648135777,0.637376444,0.600618402,6.210057926
0.930177725,0.930059815,0.929837989,0.122334823
0.722069455,0.72127795,0.717951936,5.354329436
0.896839948,0.896322402,0.895115036,0.636266825
0.9621579,0.962099717,0.961720696,0.042337172
0.965589668,0.963957471,0.959296066,0.400089839
0.969407325,0.969405907,0.96940368,0.243005309
0.99243913,0.992045054,0.991041734,0.033828559
0.742675474,0.742789814,0.742981553,1.563343514
0.819482269,0.819519173,0.819579047,2.875187952
0.807895531,0.801390358,0.779454512,3.526681493
0.817200154,0.81228965,0.795965035,5.415544863
0.738206719,0.731107166,0.706742148,7.473048277
0.602945605,0.595182589,0.567417137,7.847606783
0.64809563,0.639936709,0.611360789,8.488287157
0.693546052,0.686781889,0.663080153,8.973625887
0.712434785,0.70669277,0.686521558,9.556028717
0.736162508,0.73165119,0.715849825,9.186138991
0.762456627,0.757788139,0.741767111,7.442938296
0.705244002,0.698818121,0.676334889,7.659189724
0.757524989,0.752814154,0.736594183,7.963394253
0.724578421,0.71722679,0.691919161,7.828648808
0.788566994,0.782213576,0.760726684,7.003715121
0.760404096,0.754407861,0.733902786,4.813910677
0.865647479,0.860177472,0.841505982,0.147879174
0.880981823,0.880981841,0.880981869,0.487251318
0.954829992,0.954314753,0.953189696,1.573127154
0.973973345,0.973487581,0.972315309,0.067079225
0.964809765,0.964800836,0.964786456,0.298112877
0.974052605,0.973929967,0.973701105,0.306144215
0.968940715,0.967703837,0.964334929,0.151623435
0.85942717,0.858718603,0.856848042,0.382919296
0.591146513,0.591355662,0.591704317,4.910139196
0.82136836,0.8214168,0.821485427,4.278249063
0.76446124,0.758373301,0.737598567,4.723121903
0.758023198,0.751510329,0.7292584,6.424437164
0.686108435,0.678786039,0.653216533,8.86768108
0.740441507,0.734171832,0.71256502,8.873878349
0.734009736,0.728036691,0.707343658,9.3645543
0.761124303,0.75627178,0.739614016,8.814228977
0.819408604,0.814471936,0.798072316,10.57063755
0.828913136,0.824117873,0.808273874,9.230699799
0.822142279,0.817835334,0.803643213,9.019898368
0.738030624,0.734781892,0.72328129,6.387432505
0.749278048,0.742627362,0.719841611,7.047101489
0.708211966,0.701306976,0.677300319,6.183828288
0.743845323,0.736450132,0.711151013,5.031801542
0.68697077,0.676363953,0.640142214,3.877817902
0.990166439,0.989886159,0.989253309,0.032202579
0.961709352,0.961422927,0.960843707,0.042927918
0.965991187,0.965888405,0.965699435,0.052890468
0.952083508,0.952075011,0.952060988,0.06155556
0.912990811,0.912963708,0.912903305,0.125583859
0.9604477,0.960021518,0.959105504,0.279080392
0.947940282,0.94789164,0.94780693,0.29627575
0.933062215,0.933044203,0.933014064,0.797910769
0.979874674,0.978983778,0.976605178,0.000856816
0.962470972,0.962469108,0.962466059,0.144496687
0.666031867,0.662384835,0.653512122,0.61396947
0.932312922,0.93187409,0.93092942,0.727439465
0.985840663,0.985037204,0.982810396,0.180864434
0.804457954,0.804514537,0.804607801,2.050874804
0.817090299,0.817097472,0.817108832,2.089809222
0.744082933,0.743381012,0.740604394,4.191874697
0.707919988,0.699727396,0.671548361,4.654722151
0.670518701,0.66180696,0.631679308,6.564374503
0.710203466,0.703132338,0.678606685,8.284678247
0.695826909,0.690182132,0.67013545,7.426503354
0.798145134,0.793825181,0.779371566,7.828731178
0.79032293,0.785476973,0.769144982,9.869600471
0.790579973,0.784725507,0.764956692,12.05543994
0.804242439,0.800095716,0.786298006,7.516395236
0.804457134,0.802058552,0.79427797,8.261653304
0.777872695,0.773694382,0.759512518,7.998280219
0.749326631,0.743753972,0.724551989,6.693143859
0.810729073,0.805676116,0.788810489,5.912620694
0.752810104,0.745172578,0.719119782,5.149689883
0.580211043,0.566672921,0.521057636,3.189095982
0.977241082,0.977210569,0.977158296,0.189373723
0.596759812,0.596274144,0.592266264,3.239154252
0.514982584,0.516492766,0.517768189,3.185719604
0.93317716,0.931545023,0.927043792,0.005114867
0.638355968,0.637914327,0.633185909,0.482156937
0.9748139,0.974711584,0.974523037,0.096674871
0.935069432,0.934936565,0.93468667,0.404828424
0.953772222,0.951571174,0.944880712,0.058677359
0.750787285,0.743033163,0.716576962,3.873624628
0.691013104,0.682216356,0.651965001,6.068908188
0.673255381,0.665372176,0.637894109,6.615583053
0.829409301,0.824936501,0.810221954,7.407997408
0.875088467,0.874812938,0.8741807,8.340409807
0.847274319,0.846681155,0.84509105,9.47715663
0.876208633,0.872744952,0.861841764,8.079749712
0.928968779,0.927929339,0.925335087,8.301296934
0.676263075,0.676793168,0.677690917,7.511760851
0.668079194,0.66868667,0.66968429,7.984036714
0.890497921,0.88915587,0.885538975,7.736599543
0.855918073,0.854870328,0.851976081,6.428016163
0.883554218,0.882025046,0.877784406,6.098456165
0.830987035,0.826412906,0.811355209,4.349295791
0.753995386,0.746514033,0.720993417,3.903464844
0.981019144,0.980989726,0.980939597,0.05238916
0.923305879,0.91946451,0.908197434,0.022509429
0.923338264,0.92330684,0.923235437,0.032631144
0.968444024,0.968328512,0.96811486,0.247370317
0.982993825,0.982594095,0.981711143,0.009924922
0.794710771,0.792788256,0.786505384,2.744028652
0.929190447,0.929124204,0.929004479,0.629022675
0.964928991,0.964799848,0.964558495,0.123263881
0.984847701,0.9840497,0.981886566,0.083983334
0.821403339,0.821153193,0.820464943,0.244866901
0.813393327,0.813393715,0.813394316,2.364490756
0.757112474,0.757287711,0.757583076,4.58169107
0.879688566,0.876294281,0.865649482,6.563496718
0.798274798,0.793054406,0.775513612,7.190852574
0.802555858,0.799279388,0.788465147,7.675892278
0.868074012,0.865974276,0.859767698,7.525680594
0.8975978,0.895686062,0.890259214,8.91013047
0.813643586,0.813446664,0.812819631,7.964915975
0.915899524,0.915199734,0.913550746,8.12077226
0.957787149,0.956816817,0.954402479,8.064679024
0.956566145,0.954974577,0.950529216,7.448377853
0.89278426,0.891048301,0.886182206,8.291668394
0.953850672,0.952964767,0.950804733,5.984948423
0.862985658,0.858318953,0.843057261,6.247665837
0.832955859,0.827993449,0.811586986,3.794081373
0.886892635,0.886831565,0.886711218,2.10966497
0.983679474,0.983419923,0.982873462,0.121960394
0.877449206,0.877377802,0.877230104,2.89672482
